dataset/turismo-asturias,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-pdj5hh7z/export.nq.gz
dataset/testlocations,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-pgkjl4qh/export.nq.gz
dataset/aligaballa,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-pgw1isf0/export.nq.gz
dataset/veille-pearltrees,Open Database License (ODbL),https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-pi3mwca5/export.nq.gz
dataset/ejemplo3,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-pifib3n4/export.nq.gz
dataset/yokohama-attractions,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-pw5bfmci/export.nq.gz
dataset/jpm-allanbeck-nasa-training,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-qmx1ou6q/export.nq.gz
dataset/icdb,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-qu1eezq6/export.nq.gz
dataset/italy,Creative Commons Attribution-ShareAlike 3.0 Unported (CC-BY-SA 3.0),https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-qv13j8d0/export.nq.gz
dataset/utpl,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-r1gxfwln/export.nq.gz
dataset/ordnance-survey-renewable-energy-generators-linkset,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-r1ve8t25/export.nq.gz
dataset/openflights-routes,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-r7digtfi/export.nq.gz
dataset/airports,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-ret6tdky/export.nq.gz
